departure location: 28-787 or 804-964
departure station: 41-578 or 594-962
departure platform: 50-718 or 733-949
departure track: 27-846 or 862-949
departure date: 50-241 or 249-957
departure time: 44-81 or 104-972
arrival location: 45-292 or 299-954
arrival station: 46-650 or 657-974
arrival platform: 42-396 or 405-953
arrival track: 42-871 or 886-973
class: 31-808 or 829-964
duration: 39-909 or 935-969
price: 49-350 or 364-970
route: 44-251 or 264-959
row: 50-539 or 556-952
seat: 45-624 or 630-951
train: 28-283 or 290-960
type: 44-334 or 340-951
wagon: 43-699 or 716-961
zone: 42-668 or 688-958

your ticket:
131,67,137,61,149,107,109,79,71,127,173,157,167,139,151,163,59,53,113,73

nearby tickets:
436,66,560,233,594,569,437,864,15,350,199,146,265,166,666,490,494,689,170,869
744,207,488,829,776,123,949,327,308,219,624,600,337,197,941,502,305,659,77,63
941,201,228,759,490,232,469,631,660,305,562,339,237,185,290,123,411,536,64,772
155,204,699,517,689,940,520,700,756,329,459,690,843,901,534,662,416,212,483,868
715,465,463,519,304,133,561,309,216,367,440,239,899,78,602,566,453,535,487,482
898,250,181,392,176,977,666,160,603,754,941,524,304,501,107,640,495,649,309,899
936,143,507,778,162,652,134,520,316,523,316,393,769,405,458,195,620,832,161,611
843,500,66,657,278,414,313,676,280,483,431,841,442,868,204,632,159,427,690,445
764,303,208,865,127,832,533,758,508,518,14,173,473,227,194,424,344,835,325,606
540,487,392,468,309,632,905,425,534,274,634,866,749,174,734,642,125,600,529,366
640,57,896,574,646,170,688,597,384,312,193,273,724,315,938,440,207,63,425,201
212,468,410,429,232,867,527,875,386,185,199,871,78,487,310,465,506,786,693,241
161,863,209,420,904,771,864,227,761,220,537,623,287,366,161,507,443,251,832,693
202,446,491,835,222,377,377,603,578,787,376,441,342,891,67,628,862,160,129,717
521,208,909,490,806,492,733,750,507,472,314,353,212,473,571,81,50,612,304,157
178,708,525,140,438,772,165,560,158,365,64,382,783,321,514,186,251,568,439,658
319,697,507,238,316,55,668,629,667,80,663,368,772,214,76,439,949,133,311,452
51,190,433,337,370,830,450,344,72,178,227,899,649,889,690,178,638,769,613,598
895,460,557,769,936,386,743,418,528,845,661,791,737,863,507,129,179,532,935,737
464,269,472,426,617,169,613,179,189,113,457,564,120,287,843,347,835,274,305,741
181,528,250,907,189,498,599,309,155,840,198,741,769,132,159,336,210,223,164,537
288,434,171,643,80,577,606,513,61,329,459,631,113,594,193,618,430,909,617,409
189,178,281,329,300,612,613,566,532,434,79,887,322,935,518,427,487,5,907,904
177,311,995,775,535,695,371,162,504,948,753,370,776,182,267,407,136,765,948,342
737,420,898,875,118,764,574,374,233,52,612,186,534,462,836,272,172,193,471,160
797,227,198,237,203,182,481,320,765,600,558,439,428,78,364,382,235,69,835,454
447,385,322,132,299,429,829,484,865,529,519,845,938,340,201,65,886,471,785,288
942,448,611,434,479,280,841,537,894,427,237,656,889,665,661,662,907,525,221,768
303,437,386,276,867,559,71,114,347,185,572,578,881,196,595,366,279,465,762,225
51,114,176,557,692,466,54,779,234,435,130,535,637,654,480,614,179,468,557,70
535,717,599,490,632,371,178,458,138,499,207,574,507,115,656,741,636,434,370,845
388,573,617,440,218,564,862,532,764,377,691,499,126,728,140,438,616,668,50,431
440,519,944,6,516,524,137,76,496,272,307,611,906,782,946,127,735,482,567,376
738,149,775,769,529,748,759,536,694,447,443,126,852,105,139,312,830,345,434,79
184,689,766,273,51,547,758,607,772,531,380,149,349,318,232,184,408,387,485,323
130,694,234,184,184,493,901,343,17,637,634,646,318,110,161,219,512,696,738,510
659,939,577,158,291,136,560,291,279,642,182,489,121,183,869,705,151,750,733,274
485,470,412,644,514,866,462,381,277,267,132,488,419,625,607,196,639,771,528,782
558,844,893,653,137,234,406,535,145,429,516,388,473,748,509,314,451,420,334,806
