Card   1: 29 21 67 44  6 13 68 15 60 79 | 75 44 60 30 10 68 40 70 36 79  3 13 64 15  4 46 21 22 67 47 73 86 29 53  6
Card   2: 15 61  5 39 42 79  4 81 72 89 | 74 79 20 81 72 85 25 76 36 49 51 18 34 90 57 17 11 24 89 73 19 37 61 54  2
Card   3: 75 31 33 22 49 70 37 98 92 94 |  1 87 73 92 57 94 84 10  5 79 69 74 96 37 40 55 18 21 85 93 71 49 70 22 39
Card   4: 76 59 23 34 55 41 47 92 58  5 | 16 70 56 19 79 30 85 58 88 75 71  5  8 64 12 23  9 46 34  4 94 37 48 82 47
Card   5: 48 77 74 18 44 34 71 38 67  1 |  8 78 73 19 39 50 11 54 69 37 79 18 66 77 52 94 74 34 71  1 48 85 67 95 93
Card   6:  1 30 41 34 51 23 64 14 18 74 | 38 98 13 67 39 65  1 29 28 75 95 71 60 88 20 86 59 63 36  3 15 57 58  4 42
Card   7: 70 27 20 85  2 34 55 49 24  5 | 19 20 15 48 70 26 89  7 55 44 76 53 63 49 93 68 23 59 72 73 52 41  9 11 94
Card   8: 64 17 56 38 85 53 88 22 51 92 | 22 10 37 24 65 25 63 82 64  5  1 88 17 73 39 78 53 36 71 92 23  9 85 33 38
Card   9: 99  7 22 85 41 15 84 10 42 34 | 16 52 65 26 95 37 28 44 21 36 13 89 48 51 71 83 49 86  9 12 33 32 61 72 73
Card  10: 19 86 25 64  6 95 74 55 68 12 | 51 46 95 84 27 87  7 12 18 81 19 66 33 26 94 16 97 86 74 31 55  6 30 60 85
Card  11: 45  6 14 25 88  1  5 26 91 28 | 10 42 34 19 28 18 91 47 71 29 66 94 43 82 65 70  3 30 64 52 83 27 85  4 60
Card  12: 33 47 56  8 42 95 24 15 83 93 | 93 56 53 95 43 55 73 77 67 47 81 27  3 19 15 79 46  7 42 54 91 10 24  6  5
Card  13:  2 18 45 43 56 82  7 23 16  4 | 70 56 74  4 83 23 98 57 20 86 87 30 28 89 77 37 75 10 41 58 32 21 35 84 66
Card  14: 33 91 58 32 75 37 88 51 83  8 | 92 35 91 56 10 75 52 64 97 16 58  9 26 15 86 99 13 69 70  6 40 12 51 93 95
Card  15: 18 94 82 39 93 70 90 85 37 91 | 29 94 68 22 47  4 64  1 37 75 90 95 54 56 12 48 80  6 40 38 55  2 30 49 92
Card  16: 78 98 80 34 43 51 90 25 26 59 | 83 31 37 79 54 99 98 96 27 16 50 36  4 15 14 80  2  6 33 81  3 24 92 52 45
Card  17:  6 74 89  4 22 95 54 97 28 99 | 32 24 60 83 89 62 79 82 91 25 43 40 52 23 50 71  6 86 64 51 58 63 36  1 41
Card  18: 28 73 36 17 42 26 15 79 13 80 | 11 24 85 84 93 63 42 16  7 19  1 38 44 54 98 59 88 91 35 81 82 95 77 30 26
Card  19: 45 38 16 35 25 72 97 19 96 46 | 21  9 83 49 93 50 92 88 62 46  4 61 69 85 82 51 43 86 81 47 20 53 15 84 91
Card  20: 36  9  7 26 53 48 25 66 76 59 | 90 16 20 79 27 40 86 77 41 15 67 52 34 51 95 64 29  2 47 57 58 24  4 50 84
Card  21: 26 89 64 53 45 95 32 90 24 65 | 80 46 34 33  8 19 94 47  5 21  9 68 73 29 48 82 26 36  4 15 10 74 14 42 79
Card  22: 95 78 69 14 44 54 97 58 66 43 | 75 95 64 54  3 53 20 69 86 22 52 23 59 31 78 45 61 90 50 66 76 63 91 38 79
Card  23: 46 59 36 40 60 10 38 72 20 91 | 21 40 99 22 27 20 57 59 76 78 10 85 97 71 98  1 24  6 72 58 60 36 38 63 46
Card  24: 75 92 32 12 23 89 48 35 28 95 | 23 75 59 58 25 70 18 48 27 92 35 32 53 83 89 64 79 87 10 68 28 30 95 61 78
Card  25: 64 30 37 36 70 35 26 75 80  7 | 11 10 28 40 64 94 31 98 73 57 70  8 88 30 20 80 85 75 92 14 37 27 77 41 76
Card  26:  9 15  4 90 10 67 44 72  3 20 | 64 41 96  2 69 73 61 67 84 58 34 13  3 46 99 48 55 79 31 38 75 12  8 76 32
Card  27: 48 15 97 86 38 37 75 64 27 10 | 96 85 54 88 80 64 11 70 37 50 86 24 75 63 15  3 48 27 17 65 83 97 22 74 10
Card  28: 15 48 89 62 35 81 17 77 16 28 | 92 22  2 78 74 80 12 85 73 42 17 38 11 46 79 69 65 82 47 28 30 62 96 76 66
Card  29: 97 84 88  6 87  4  9 23 43 39 | 64 35 18 36 33 32 39 61 63 93 84 23 49  3 31 60 81 97 17 37 57 79 74 30 65
Card  30: 83 80 61 52 28 84 98 91 79 57 | 62 40 82 31  8 23 95  2 71 93 48 36 43 39 32 87 81 60 18  6 64 90 26 47 85
Card  31: 98 40 94 66 28 32 46 88 36 24 |  4 50  3 21 61 57 63 85 39 11 27 52  7 96 25 91 34 95 71 76 67 23 22 19 99
Card  32: 58 64 75 63 21 77 74 47 71 87 | 71 82 95 17  6 18 14 87 63 65 39 97 79  2 90 21 48 15 23 33 62 67 31 57 88
Card  33: 35 53 67 16 68 20 60 39 47 13 | 71 38 80  7 94 95 44 18 27 64 86 23 81 46 31 56 52 73 97 37 58 29 79 40  6
Card  34:  8 44 93 30 31 81 10 51  1 96 | 73 99 72 32 36 53 28 44 42 29 48 19 34 15 92 75 60 97 39 78 63 43  4 91 95
Card  35: 74 83 62 26 55 81 84 90 53  2 | 77  3 75 54 71 32 18 21 56 70 65 61  4 96 31 72 11 35  6 91 64 38 87 73 30
Card  36: 51 54 86 95 90 64 41 18 83  9 |  2 45  4 92  1 62 50 63 78 44 27 58 94 74 30 59 36 71 79 93 52 77 66 80 65
