96|89
15|17
15|93
55|49
55|82
55|72
37|87
37|26
37|33
37|12
52|57
52|89
52|67
52|19
52|38
58|97
58|22
58|91
58|93
58|32
58|12
61|49
61|87
61|58
61|39
61|63
61|52
61|84
33|51
33|49
33|21
33|71
33|44
33|97
33|57
33|67
54|41
54|56
54|26
54|96
54|39
54|44
54|95
54|52
54|45
88|57
88|84
88|55
88|89
88|91
88|32
88|25
88|63
88|33
88|69
24|26
24|37
24|45
24|33
24|25
24|69
24|15
24|56
24|87
24|84
24|63
32|24
32|21
32|93
32|62
32|51
32|72
32|41
32|71
32|19
32|95
32|17
32|53
13|55
13|65
13|87
13|96
13|69
13|25
13|24
13|26
13|84
13|33
13|52
13|39
13|79
31|25
31|96
31|55
31|45
31|61
31|49
31|39
31|87
31|58
31|12
31|37
31|84
31|89
31|24
93|38
93|51
93|62
93|17
93|44
93|41
93|79
93|53
93|65
93|88
93|56
93|19
93|71
93|97
93|24
87|21
87|19
87|17
87|89
87|97
87|93
87|62
87|55
87|57
87|15
87|82
87|22
87|12
87|63
87|33
87|49
53|56
53|37
53|71
53|54
53|97
53|17
53|31
53|88
53|51
53|79
53|13
53|61
53|38
53|95
53|19
53|47
53|72
71|51
71|61
71|37
71|69
71|96
71|24
71|87
71|39
71|65
71|95
71|47
71|31
71|79
71|44
71|88
71|54
71|84
71|26
84|58
84|25
84|77
84|89
84|82
84|63
84|57
84|52
84|33
84|55
84|17
84|12
84|26
84|49
84|67
84|93
84|53
84|32
84|91
21|65
21|39
21|41
21|56
21|52
21|37
21|88
21|62
21|31
21|47
21|79
21|61
21|51
21|69
21|13
21|72
21|24
21|54
21|84
21|95
69|45
69|57
69|89
69|33
69|84
69|58
69|91
69|63
69|82
69|96
69|25
69|15
69|67
69|49
69|39
69|93
69|32
69|87
69|52
69|12
69|55
49|17
49|79
49|67
49|51
49|54
49|22
49|57
49|93
49|72
49|77
49|38
49|13
49|82
49|62
49|44
49|21
49|95
49|71
49|32
49|15
49|53
49|19
47|58
47|57
47|39
47|63
47|89
47|96
47|33
47|93
47|91
47|26
47|45
47|55
47|25
47|15
47|82
