7,22
63,47
4,45
5,6
26,3
1,27
3,59
14,7
37,54
25,65
7,17
69,47
9,16
51,61
61,52
39,68
43,62
47,51
41,57
49,60
12,23
8,31
59,58
67,34
26,5
53,65
16,7
15,60
23,31
3,57
49,47
23,67
57,63
29,60
61,43
41,69
69,50
66,49
29,1
61,51
22,3
6,51
32,69
21,9
46,53
51,50
9,32
22,67
60,63
9,22
15,31
13,11
38,61
18,7
7,46
61,53
21,3
13,15
51,65
1,22
28,57
1,3
65,53
68,59
58,61
51,53
11,60
13,23
61,65
14,9
8,37
3,34
68,45
5,25
41,64
37,58
65,45
67,54
33,57
19,7
56,67
46,59
11,34
11,51
51,52
17,23
21,61
40,51
26,67
13,50
53,53
51,47
65,55
5,13
19,9
47,61
10,17
40,61
57,55
13,49
5,63
2,41
55,33
37,57
69,57
66,41
26,65
33,49
9,20
31,65
27,69
5,3
1,19
15,68
27,10
39,66
48,51
33,4
63,65
13,19
15,62
34,59
67,59
67,43
11,25
15,64
66,63
11,61
14,39
24,1
8,7
31,9
63,60
37,53
65,69
28,69
59,61
2,19
4,27
64,41
55,45
13,12
19,15
23,64
49,45
7,41
29,69
7,4
29,58
12,7
67,42
3,50
41,55
45,53
7,31
55,47
67,39
10,31
9,23
63,59
33,66
7,53
9,15
7,7
70,43
5,45
19,2
21,46
33,1
31,57
7,45
11,33
9,31
55,51
47,59
3,26
52,63
59,47
19,67
27,55
3,61
41,61
32,59
1,18
50,63
7,47
15,38
45,54
48,55
19,68
11,5
57,57
7,52
4,41
11,37
11,35
43,61
63,56
21,65
17,5
62,69
19,20
11,8
69,61
6,7
13,62
63,54
60,67
3,12
29,57
8,29
65,58
49,61
2,29
33,52
57,37
4,19
19,11
9,35
37,63
55,34
11,1
47,48
11,28
56,61
4,37
48,59
31,63
39,69
6,25
4,61
12,13
6,59
69,43
65,46
2,61
69,55
29,55
15,22
9,9
61,42
3,43
4,17
5,23
27,63
63,53
27,57
68,47
14,65
17,67
43,66
59,56
67,47
7,25
27,61
1,2
61,57
63,63
58,65
7,56
37,70
12,51
15,45
0,27
27,1
47,66
5,11
2,15
15,2
5,1
15,41
9,50
1,7
49,67
55,55
2,17
21,64
35,57
12,19
33,67
22,13
9,52
28,67
54,45
18,47
32,61
35,50
10,49
30,67
8,19
3,37
21,63
35,69
1,35
12,37
7,1
5,14
11,9
53,45
67,65
4,25
25,7
11,49
19,19
29,3
51,59
4,43
26,9
13,3
49,62
31,52
59,63
13,7
4,51
13,1
2,3
31,1
15,17
37,56
63,55
61,45
13,21
63,43
2,53
67,61
53,61
31,3
5,41
9,17
13,42
5,46
16,47
17,15
9,40
43,69
5,15
61,35
32,55
11,65
15,3
42,49
57,45
68,61
31,54
1,45
49,51
5,57
28,5
11,48
57,64
38,51
9,29
30,61
13,32
33,69
68,41
35,6
65,67
47,49
45,69
36,63
3,5
7,35
5,7
57,61
38,65
0,21
10,47
33,7
11,7
45,43
17,6
3,31
11,47
41,68
59,43
51,55
69,48
40,63
19,69
67,53
61,63
2,25
52,55
13,35
1,41
13,34
57,46
24,5
21,67
9,54
49,49
3,14
17,32
1,47
49,48
1,6
1,23
65,49
10,7
5,37
31,10
20,65
69,66
52,45
39,65
47,53
69,59
7,20
50,49
10,3
64,51
16,3
29,59
34,57
7,40
3,47
57,62
5,19
3,48
45,51
9,42
8,47
58,51
5,30
4,5
7,29
1,29
0,13
34,7
27,5
21,4
43,57
67,38
23,3
7,33
3,39
61,55
29,5
47,43
69,54
17,14
35,61
58,55
3,49
64,57
59,48
47,39
5,33
7,18
15,5
55,67
45,59
19,63
54,51
67,41
62,51
42,63
33,55
19,13
22,17
34,55
5,12
24,65
17,65
69,67
5,27
23,6
23,5
59,57
30,69
32,65
11,27
59,53
7,42
65,51
9,0
9,45
66,69
51,48
