97087,38864,23753
75016,36080,24819
30660,97751,22587
59383,11790,81126
2600,8401,80432
46494,70797,47058
81732,20950,69200
15728,92220,74530
54831,40458,91147
89441,6168,34566
72454,92628,51454
77856,17035,10876
28523,97878,71598
76225,80828,17571
26470,5547,70927
51295,63717,52536
46497,18958,68258
23193,28622,49485
87424,10885,44181
80738,63528,37589
87670,55102,94358
40880,50031,6830
38549,67920,77663
39036,36994,88345
41639,71553,74006
16909,80500,83974
28873,7268,88436
85846,41546,93048
20012,74589,27198
77547,71990,24027
60618,14924,38900
17154,20294,52963
61320,56700,36468
79242,41846,68987
50563,1498,73464
49557,33592,11047
46615,73849,67322
1081,95388,30075
98047,4511,38627
93255,83340,57782
29717,94577,66723
5774,68659,95647
3861,20635,53818
26628,92003,85496
68241,15467,7597
77509,49485,24373
66205,98086,82794
22386,85405,29848
68704,89280,51779
27029,38642,47315
84271,60574,49976
11589,10437,71306
66803,96256,61748
29100,89168,98830
77224,36565,3825
45689,29133,50145
99081,32962,44012
56545,77873,53900
50439,38918,62693
8911,940,85181
66969,41485,68611
34252,96481,2757
34091,67890,85439
91267,50465,43388
92272,41303,92974
21735,14555,92943
77443,87368,98735
96458,22360,28460
43795,10997,60603
64382,36955,7627
99601,71857,30302
85775,25087,89886
18421,43215,30783
31479,15815,87092
91888,16999,48348
48416,36846,78393
62755,27322,82861
88363,52398,90553
4342,5515,84104
6651,88662,21598
60674,5603,84490
64962,45338,7046
68766,84441,19302
69877,98980,77998
10918,73415,97647
72818,76946,69416
51249,29239,92705
20590,31927,65323
11300,16278,47940
56199,33153,82920
49505,90987,18854
65720,6827,97637
22227,79692,3627
13700,90239,21153
64704,69760,3780
3981,42328,6289
32918,74804,1547
98004,74426,55201
66870,60013,83220
21170,65747,43971
15997,26311,41519
51096,70514,97639
19266,31988,31206
25481,21444,64953
57703,52068,21290
97883,71478,59023
35513,60856,84330
10616,34277,53701
55678,27448,46413
45081,81211,20837
67270,86441,79006
89774,11792,8916
8838,74779,67897
86338,2446,32523
87014,79452,95714
74768,36728,30740
94847,39339,42645
25677,17350,90584
65448,33374,72148
94754,17905,60155
61769,70908,93806
5573,41174,71348
95137,77478,73268
14174,39334,65991
9099,43383,59702
74631,52496,74418
78580,78403,63883
41996,4722,5589
18059,76201,48913
93374,65858,17110
50787,32689,2465
39373,95901,18892
16125,99439,76959
50709,63568,69224
12876,47512,83549
62337,1315,76088
41578,50487,6477
23129,78865,67689
6812,13357,81241
94658,74821,39149
61762,42645,81381
33585,69019,29317
3381,21718,54835
